Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Byrne, Monika; Aughwane, Rosalind; James, Joanna L; Hutchinson, J Ciaran; Arthurs, Owen J; Sebire, Neil J; Ourselin, Sebastien; David, Anna L; Melbourne, Andrew; Clark, Alys R; ",Structure-function relationships in the feto-placental circulation from in silico interpretation of micro-CT vascular structures,Journal of theoretical biology,517,,110630,2021,Elsevier
"Raniga, Parnesh; Fripp, Jurgen; Acosta Tamayo, Oscar; Bourgeat, Pierrick; Szoeke, Cassandra; Ourselin, Sebastien; O'Keefe, Graeme; Ellis, Kathryn A; Martins, Ralph; Chetelat, Gael; ",Effects of partial volume correction on the analysis of 11C-PiB PET in assessing Alzheimer¿ s disease,,,,,2010,Alzheimer's Association
"Evans, Matthew C; Barnes, Josephine; Nielsen, Casper; Kim, Lois G; Clegg, Shona L; Blair, Melanie; Leung, Kelvin K; Douiri, Abdel; Boyes, Richard G; Ourselin, Sebastien; ",Volume changes in Alzheimer’s disease and mild cognitive impairment: cognitive associations,European radiology,20,,674-682,2010,Springer
"Pichat, Jonas; Iglesias, Juan Eugenio; Yousry, Tarek; Ourselin, Sébastien; Modat, Marc; ",A survey of methods for 3D histology reconstruction,Medical image analysis,46,,73-105,2018,Elsevier
"Young, Alexandra L; Oxtoby, Neil P; Daga, Pankaj; Cash, David M; Fox, Nick C; Ourselin, Sebastien; Schott, Jonathan M; Alexander, Daniel C; ",A data-driven model of biomarker changes in sporadic Alzheimer's disease,Brain,137,9,2564-2577,2014,Oxford University Press
"Markiewicz, Pawel; Thielemans, Kris; Burgos, Ninon; Manber, Richard; Jiao, Jieqing; Barnes, Anna; Atkinson, David; Arridge, Simon R; Hutton, Brian F; Ourselin, Sébastien; ",Image reconstruction of mMR PET data using the open source software STIR,EJNMMI physics,1,,1-3,2014,Springer
"Song, Yi; Totz, Johannes; Thompson, Steve; Johnsen, Stian; Barratt, Dean; Schneider, Crispin; Gurusamy, Kurinchi; Davidson, Brian; Ourselin, Sébastien; Hawkes, David; ","Locally rigid, vessel-based registration for laparoscopic liver surgery",International journal of computer assisted radiology and surgery,10,,1951-1961,2015,Springer
"Lehmann, Manja; Melbourne, Andrew; Dickson, John C; Ahmed, Rebekah M; Modat, Marc; Cardoso, M Jorge; Thomas, David L; De Vita, Enrico; Crutch, Sebastian J; Warren, Jason D; ",A novel use of arterial spin labelling MRI to demonstrate focal hypoperfusion in individuals with posterior cortical atrophy: a multimodal imaging study,"Journal of Neurology, Neurosurgery & Psychiatry",87,9,1032-1034,2016,BMJ Publishing Group Ltd
"Booth, Thomas C; Grzeda, Mariusz; Chelliah, Alysha; Roman, Andrei; Al Busaidi, Ayisha; Dragos, Carmen; Shuaib, Haris; Luis, Aysha; Mirchandani, Ayesha; Alparslan, Burcu; ",Imaging biomarkers of glioblastoma treatment response: a systematic review and meta-analysis of recent machine learning studies,Frontiers in oncology,,,28,2022,Frontiers
"Eaton-Rosen, Zach; Melbourne, Andrew; Bainbridge, Alan; Kendall, Giles S; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Measurement of white matter maturation in the preterm brain using NODDI.,"ISMRM, Milan",,,3512,2014,
"Ahmad, Mirza Awais; Ourak, Mouloud; Gruijthuijsen, Caspar; Legrand, Julie; Vercauteren, Tom; Deprest, Jan; Ourselin, Sebastien; Vander Poorten, Emmanuel; ",Design and shared control of a flexible endoscope with autonomous distal tip alignment,2019 19th International Conference on Advanced Robotics (ICAR),,,647-653,2019,IEEE
"Samson, RS; Cardoso, MJ; Muhlert, N; Sethi, V; Wheeler-Kingshott, CAM; Ourselin, S; Yousry, T; Ron, M; Miller, DH; Chard, DT; ",MTR analysis of inner and outer cortical bands in multiple sclerosis,Multiple Sclerosis Journal,18,,383-384,2012,SAGE PUBLICATIONS LTD
"Huber, Martin; Ourselin, Sébastien; Bergeles, Christos; Vercauteren, Tom; ",Deep homography estimation in dynamic surgical scenes for laparoscopic camera motion extraction,Computer Methods in Biomechanics and Biomedical Engineering: Imaging & Visualization,10,3,321-329,2022,Taylor & Francis
"Mertzanidou, Thomy; Hipwell, John H; Cardoso, M Jorge; Tanner, Christine; Ourselin, Sebastien; Hawkes, David J; ",X-ray mammography–MRI registration using a volume-preserving affine transformation and an EM-MRF for breast tissue classification,"Digital Mammography: 10th International Workshop, IWDM 2010, Girona, Catalonia, Spain, June 16-18, 2010. Proceedings 10",,,23-30,2010,Springer
"Kläser, Kerstin; Varsavsky, Thomas; Markiewicz, Pawel; Vercauteren, Tom; Hammers, Alexander; Atkinson, David; Thielemans, Kris; Hutton, Brian; Cardoso, Manuel Jorge; Ourselin, Sébastien; ",Imitation learning for improved 3D PET/MR attenuation correction,Medical image analysis,71,,102079,2021,Elsevier
"Zuluaga, MA; Acosta, O; Bourgeat, P; Hoyos, MH; Salvado, O; Ourselin, S; ",Cortical thickness measurement from magnetic resonance images using partial volume estimation [6914-18],PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING,6914,1,6914,2008,International Society for Optical Engineering; 1999
"Chataway, Jeremy; De Angelis, Floriana; Connick, Peter; Parker, Richard A; Plantone, Domenico; Doshi, Anisha; John, Nevin; Stutters, Jonathan; MacManus, David; Carrasco, Ferran Prados; ","Efficacy of three neuroprotective drugs in secondary progressive multiple sclerosis (MS-SMART): a phase 2b, multiarm, double-blind, randomised placebo-controlled trial",The Lancet Neurology,19,3,214-225,2020,Elsevier
"Fidon, Lucas; Viola, Elizabeth; Mufti, Nada; David, Anna L; Melbourne, Andrew; Demaerel, Philippe; Ourselin, Sébastien; Vercauteren, Tom; Deprest, Jan; Aertsen, Michael; ",A spatio-temporal atlas of the developing fetal brain wit h spina bifida aperta [version 1; peer review: 1 approved],,,,,2021,
"Lucena, Oeslle; Vos, Sjoerd B; Vakharia, Vejay; Duncan, John; Ashkan, Keyoumars; Sparks, Rachel; Ourselin, Sebastien; ",Enhancing the estimation of fiber orientation distributions using convolutional neural networks,Computers in Biology and Medicine,135,,104643,2021,Elsevier
"Parker, Thomas D; Slattery, Catherine F; Zhang, Jiaying; Nicholas, Jennifer M; Paterson, Ross W; Foulkes, Alexander JM; Keuss, Sarah E; Malone, Ian B; Thomas, David L; Modat, Marc; ",P1‐474: SURFACE‐BASED ANALYSIS OF CORTICAL GREY MATTER MICROSTRUCTURE IN YOUNG‐ONSET ALZHEIMER'S DISEASE USING NEURITE ORIENTATION DISPERSION AND DENSITY IMAGING (NODDI),Alzheimer's & Dementia,14,7S_Part_9,P505-P505,2018,Wiley Online Library
"Burgos, Ninon; Guerreiro, Filipa; McClelland, Jamie; Nill, Simeon; Dearnaley, David; Desouza, Nandita; Oelfke, Uwe; Knopf, Antje-Christin; Ourselin, Sébastien; Cardoso, M Jorge; ",Joint segmentation and CT synthesis for MRI-only radiotherapy treatment planning,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2016: 19th International Conference, Athens, Greece, October 17-21, 2016, Proceedings, Part II 19",,,547-555,2016,Springer
"Zeidan, Aya Mutaz; Ramirez-Gilliland, Paula; Patel, Ashay; Ou, Zhanchong; Flouri, Dimitra; Mufti, Nada; Maksym, Kasia; Aughwane, Rosalind; Ourselin, Sebastien; David, Anna; ",Texture-Based Analysis of the Placenta and Fetal Liver: Application to Fetal Growth Restriction,REPRODUCTIVE SCIENCES,29,SUPPL 1,225-225,2022,"SPRINGER HEIDELBERG TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY"
"Komninos, Charalampos; Pissas, Theodoros; Flores, Blanca; Bloch, Edward; Vercauteren, Tom; Ourselin, Sébastien; Cruz, Lyndon Da; Bergeles, Christos; ",Intra-operative OCT (iOCT) Super Resolution: A Two-Stage Methodology Leveraging High Quality Pre-operative OCT Scans,"Ophthalmic Medical Image Analysis: 9th International Workshop, OMIA 2022, Held in Conjunction with MICCAI 2022, Singapore, Singapore, September 22, 2022, Proceedings",,,105-114,2022,Springer
"Antonelli, Michela; Johnston, Edward W; Dikaios, Nikolaos; Cheung, King K; Sidhu, Harbir S; Appayya, Mrishta B; Giganti, Francesco; Simmons, Lucy AM; Freeman, Alex; Allen, Clare; ",Machine learning classifiers can predict Gleason pattern 4 prostate cancer with greater accuracy than experienced radiologists,European radiology,29,,4754-4764,2019,Springer
"Kazantsev, D; Arridge, SR; Pedemonte, S; Ourselin, S; Bousse, A; Hutton, BF; ",Robust anisotropic diffusion prior with anatomical regularization for 3D SPECT reconstruction,,,,,2011,
"Jack Jr, Clifford R; Barnes, Josephine; Bernstein, Matt A; Borowski, Bret J; Brewer, James; Clegg, Shona; Dale, Anders M; Carmichael, Owen; Ching, Christopher; DeCarli, Charles; ",Magnetic resonance imaging in Alzheimer's disease neuroimaging initiative 2,Alzheimer's & Dementia,11,7,740-756,2015,Elsevier
"Johnsen, Stian Flage; Taylor, Zeike A; Clarkson, M; Thompson, S; Hu, M; Gurusamy, Kurinchi; Davidson, B; Hawkes, David J; Ourselin, Sébastien; ",Explicit contact modeling for surgical computer guidance and simulation,"Medical Imaging 2012: Image-Guided Procedures, Robotic Interventions, and Modeling",8316,,645-653,2012,SPIE
"Sohal, Manav; Duckett, Simon G; Zhuang, Xiahai; Shi, Wenzhe; Ginks, Matthew; Shetty, Anoop; Sammut, Eva; Kozerke, Sebastian; Niederer, Steven; Smith, Nic; ",A prospective evaluation of cardiovascular magnetic resonance measures of dyssynchrony in the prediction of response to cardiac resynchronization therapy,Journal of Cardiovascular Magnetic Resonance,16,1,1-12,2014,BioMed Central
"Melbourne, Andrew; Orasanu, Eliza; Eaton-Rosen, Zach; Cardoso, Manuel J; Beckmann, Joanne; Smith, Lorna; Atkinson, David; Marlow, Neil; Ourselin, Sebastien; ",Analysis of brain volume in a 19 year-old extremely-preterm born cohort,,,,,2016,International Society for Magnetic Resonance in Medicine (ISMRM)
"Singleton, Ellen H; Pijnenburg, Yolande AL; Sudre, Carole H; Groot, Colin; Kochova, Elena; Barkhof, Frederik; La Joie, Renaud; Rosen, Howard J; Seeley, William W; Miller, Bruce; ",Investigating the clinico-anatomical dissociation in the behavioral variant of Alzheimer disease,Alzheimer's research & therapy,12,1,1-12,2020,BioMed Central
"Pedemonte, Stefano; Cardoso, M Jorge; Arridge, Simon; Hutton, Brian F; Ourselin, Sebastien; ",Steady-state model of the radio-pharmaceutical uptake for MR-PET,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2012: 15th International Conference, Nice, France, October 1-5, 2012, Proceedings, Part I 15",,,289-297,2012,Springer
"Bourgeat, Pierrick; Chetelat, Gael; Villemagne, VL; Fripp, Jurgen; Raniga, Parnesh; Pike, K; Acosta, Oscar; Szoeke, C; Ourselin, Sébastien; Ames, D; ",β-Amyloid burden in the temporal neocortex is related to hippocampal atrophy in elderly subjects without dementia,Neurology,74,2,121-127,2010,AAN Enterprises
"Gruijthuijsen, Caspar; Javaux, Allan; Devreker, Alain; Vercauteren, Tom; Ourselin, Sebastien; Stoyanov, Danail; Deprest, Jan; Reynaerts, Dominiek; Vander Poorten, Emmanuel; ",Haptic Guidance Schemes for Robot-assisted Minimal Invasive Fetal Surgery,Proceedings of the 6th Joint Workshop on New Technologies for Computer/Robot Assisted Surgery,,,83-84,2016,
"Graham, Mark S; May, Anna; Varsavsky, Thomas; Sudre, Carole H; Murray, Benjamin; Kläser, Kerstin; Antonelli, Michela; Canas, Liane S; Molteni, Erika; Modat, Marc; ",Knowledge barriers in the symptomatic-COVID-19 testing programme in the UK: an observational study,MedRxiv,,,2021.03. 16.21253719,2021,Cold Spring Harbor Laboratory Press
"Bocchetta, Martina; Iglesias, Juan Eugenio; Scelsi, Marzia A; Cash, David M; Cardoso, M Jorge; Modat, Marc; Altmann, Andre; Ourselin, Sebastien; Warren, Jason D; Rohrer, Jonathan D; ",Hippocampal subfield volumetry: differential pattern of atrophy in different forms of genetic frontotemporal dementia,Journal of Alzheimer's Disease,64,2,497-504,2018,IOS Press
"Burgos, Ninon; Samper-González, Jorge; Bertrand, Anne; Habert, Marie-Odile; Ourselin, Sébastien; Durrleman, Stanley; Cardoso, M Jorge; Colliot, Olivier; ",Individual analysis of molecular brain imaging data through automatic identification of abnormality patterns,"Molecular Imaging, Reconstruction and Analysis of Moving Body Organs, and Stroke Imaging and Treatment: Fifth International Workshop, CMMI 2017, Second International Workshop, RAMBO 2017, and First International Workshop, SWITCH 2017, Held in Conjunction with MICCAI 2017, Québec City, QC, Canada, September 14, 2017, Proceedings 5",,,13-22,2017,Springer
"Fiford, Cassidy M; Sudre, Carole H; Pemberton, Hugh; Walsh, Phoebe; Manning, Emily; Malone, Ian B; Nicholas, Jennifer; Bouvy, Willem H; Carmichael, Owen T; Biessels, Geert Jan; ",Automated white matter hyperintensity segmentation using Bayesian model selection: Assessment and correlations with cognitive change,Neuroinformatics,18,,429-449,2020,Springer
"Modat, Marc; Vercauteren, Tom; Ridgway, Gerard R; Hawkes, David J; Fox, Nick C; Ourselin, Sébastien; ","Diffeomorphic demons using normalized mutual information, evaluation on multimodal brain MR images",Medical Imaging 2010: Image Processing,7623,,800-807,2010,SPIE
"Wang, Haiyan; Shi, Wenzhe; Zhuang, Xiahai; Wu, Xianliang; Tung, Kai-Pin; Ourselin, Sebastien; Edwards, Philip; Rueckert, Daniel; ",Landmark detection and coupled patch registration for cardiac motion tracking,Medical Imaging 2013: Image Processing,8669,,133-138,2013,SPIE
"Ziegler, Gabriel; Penny, William D; Ridgway, Gerard R; Ourselin, Sébastien; Friston, Karl J; Alzheimer's Disease Neuroimaging Initiative; ",Estimating anatomical trajectories with Bayesian mixed-effects modeling,Neuroimage,121,,51-68,2015,Elsevier
"Crampsie, S; Strand, C; Tachrount, M; Thomas, D; Ourselin, S; Iglesias, JE; Holton, J; ",The effect of immersion in Fluorinert on the histological properties of fixed human brain tissue,Neuropathology and Applied Neurobiology,44,,39-39,2018,"WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
"Carrasco, F Prados; Cardoso, MJ; Burgos, Ninon; Wheeler-Kingshott, CAM; Ourselin, S; ",NiftyWeb: web based platform for image processing on the cloud,Scientific Meeting and Exhibition of the International Society for Magnetic Resonance in Medicine–ISMRM 2016,,,,2016,
"Berger, Lorenz; Gulamhusein, Aziz; Hyde, Eoin; Gibb, Matt; Kuusk, Teele; Neves, Joana; Silva, Pedro; Marchetti, Marta; Barod, Ravi; Tran, Maxine; ",Clinical experience of using virtual 3D modelling for pre and intraoperative guidance during robotic-assisted partial nephrectomy,Journal of Clinical Urology,15,4,323-330,2022,"SAGE Publications Sage UK: London, England"
"Zhuang, Xiahai; Li, Lei; Payer, Christian; Štern, Darko; Urschler, Martin; Heinrich, Mattias P; Oster, Julien; Wang, Chunliang; Smedby, Örjan; Bian, Cheng; ",Evaluation of algorithms for multi-modality whole heart segmentation: an open-access grand challenge,Medical image analysis,58,,101537,2019,Elsevier
"Hawkes, D; McClelland, J; Modat, M; Roth, H; Ourselin, S; ",NON-RIGID IMAGE REGISTRATION-HOW DOES IT WORK?,RADIOTHERAPY AND ONCOLOGY,96,,S185-S185,2010,"ELSEVIER IRELAND LTD ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO …"
"Zhao, Tianrui; Ourselin, Sebastien; Vercauteren, Tom; Xia, Wenfeng; ",Seeing through multimode fibers with real-valued intensity transmission matrices,Optics Express,28,14,20978-20991,2020,Optica Publishing Group
"Rohrer, Jonathan D; Clarkson, Matthew J; Kittus, Raivo; Rossor, Martin N; Ourselin, Sebastien; Warren, Jason D; Fox, Nick C; ",Rates of hemispheric and lobar atrophy in the language variants of frontotemporal lobar degeneration,Journal of Alzheimer's Disease,30,2,407-411,2012,IOS Press
"Antonelli, M; Capdevila, J; Chaudhari, A; Granerod, J; Canas, LS; Graham, MS; Klaser, K; Modat, M; Molteni, E; Murray, B; ","Optimal symptom combinations to aid COVID-19 case identification: Analysis from a community-based, prospective, observational cohort",Journal of infection,82,3,384-390,2021,Elsevier
"Fuin, Niccolo; Pedemonte, Stefano; Arridge, Simon; Ourselin, Sebastien; Hutton, Brian F; ",Subsampled Fisher Information Matrix for efficient estimation of the uncertainty in emission tomography,2012 IEEE Nuclear Science Symposium and Medical Imaging Conference Record (NSS/MIC),,,2251-2256,2012,IEEE
"Haddow, Lewis J; Sudre, Carole H; Sokolska, Magdalena; Gilson, Richard C; Williams, Ian G; Golay, Xavier; Ourselin, Sebastien; Winston, Alan; Sabin, Caroline A; Cardoso, M Jorge; ",Magnetic resonance imaging of cerebral small vessel disease in men living with HIV and HIV-negative men aged 50 and above,AIDS research and human retroviruses,35,5,453-460,2019,"Mary Ann Liebert, Inc., publishers 140 Huguenot Street, 3rd Floor New …"
"Luo, Suhuai; Li, Rongxin; Ourselin, Sébastien; ",A new deformable model using dynamic gradient vector flow and adaptive balloon forces,"APRS workshop on digital image computing, Brisbane, Australia",,,,2003,
"Dorent, Reuben; Joutard, Samuel; Shapey, Jonathan; Kujawa, Aaron; Modat, Marc; Ourselin, Sébastien; Vercauteren, Tom; ",Inter extreme points geodesics for end-to-end weakly supervised image segmentation,"Medical Image Computing and Computer Assisted Intervention–MICCAI 2021: 24th International Conference, Strasbourg, France, September 27–October 1, 2021, Proceedings, Part II 24",,,615-624,2021,Springer
"Prados, Ferran; Yaldizli, Özgür; Cardoso, Manuel Jorge; Yiannakas, Marios C; Grussu, Francesco; Ruberte, Esther; Wuerfel, Jens; Barkhof, Frederik; Wheeler-Kignshott, Claudia AM Gandini; Ourselin, Sebastien; ",Boundary shift integral to compute brain and cervical spinal cord longitudinal volume changes using the same 3DT1w volumetric scans in multiple sclerosis,,,,,,
"Powell, N; Modat, M; Cardoso, MJ; Ma, D; Lythgoe, MF; Ourselin, S; ",Purpose of the software,,,,,,
"Li, K; Vakharia, VN; Sparks, R; França, LGS; McEvoy, A; Miserocchi, A; Ourselin, S; Duncan, J; ",P31 Optimising trajectories in computer assisted planning for cranial laser interstitial thermal therapy: a machine learning approach,,,,,2019,BMJ Publishing Group Ltd
